Time (ms), Raw speed error (mV), Raw speed (mrad/s), Reference (mV), Control output (mV)
33299, -8, 5551, 3000, 8802
33349, -8, 5551, 3000, 8758
33399, 50, 5444, 3000, 8803
33450, -8, 5551, 3000, 8759
33499, -8, 5551, 3000, 8759
33549, 79, 5391, 3000, 8804
33599, -39, 5607, 3000, 8669
33649, -8, 5551, 3000, 8760
33699, 50, 5444, 3000, 8846
33751, -8, 5551, 3000, 8760
33799, 21, 5497, 3000, 8761
33849, 50, 5444, 3000, 8805
33899, -8, 5551, 3000, 8761
33949, 21, 5497, 3000, 8762
33999, -39, 5607, 3000, 8762
34049, 50, 5444, 3000, 8807
34099, 21, 5497, 3000, 8763
34150, -39, 5607, 3000, 8763
34199, 50, 5444, 3000, 8809
34249, 79, 5391, 3000, 8763
34300, -39, 5607, 3000, 8764
34349, 21, 5497, 3000, 8850
34399, 21, 5497, 3000, 8763
34449, -39, 5607, 3000, 8764
34499, 50, 5444, 3000, 8809
34549, 50, 5444, 3000, 8763
34600, -39, 5607, 3000, 8764
34649, 21, 5497, 3000, 8809
34699, 21, 5497, 3000, 8673
34749, -39, 5607, 3000, 8764
34799, 21, 5497, 3000, 8851
34849, 21, 5497, 3000, 8764
34900, 79, 5391, 3000, 8810
34949, 21, 5497, 3000, 8765
34999, 21, 5497, 3000, 8765
35050, 133, 5290, 3000, 8810
35099, 21, 5497, 3000, 8630
35149, -8, 5551, 3000, 8766
35199, 106, 5340, 3000, 8853
35249, -69, 5664, 3000, 8767
35299, 21, 5497, 3000, 8896
35349, 79, 5391, 3000, 8811
35400, -8, 5551, 3000, 8766
35449, 21, 5497, 3000, 8766
35499, 79, 5391, 3000, 8766
35549, -39, 5607, 3000, 8767
35602, 50, 5444, 3000, 8767
35649, 21, 5497, 3000, 8767
35699, -8, 5551, 3000, 8812
35750, 21, 5497, 3000, 8812
35799, 21, 5497, 3000, 8767
35851, -8, 5551, 3000, 8767
35899, 21, 5497, 3000, 8767
35949, 21, 5497, 3000, 8767
35999, -8, 5551, 3000, 8813
36051, 21, 5497, 3000, 8768
36099, -8, 5551, 3000, 8768
36149, 21, 5497, 3000, 8768
36199, 50, 5444, 3000, 8813
36249, -8, 5551, 3000, 8769
36300, 21, 5497, 3000, 8814
36351, -8, 5551, 3000, 8679
36400, -8, 5551, 3000, 8770
36449, 21, 5497, 3000, 8770
36500, -39, 5607, 3000, 8681
36550, 21, 5497, 3000, 8771
36600, 21, 5497, 3000, 8771
36650, -39, 5607, 3000, 8772
36700, 50, 5444, 3000, 8816
36750, 21, 5497, 3000, 8771
36800, 21, 5497, 3000, 8772
36849, 21, 5497, 3000, 8816
36899, -8, 5551, 3000, 8771
36950, -8, 5551, 3000, 8772
37000, 50, 5444, 3000, 8772
37049, -39, 5607, 3000, 8772
37099, 21, 5497, 3000, 8772
37150, 50, 5444, 3000, 8817
37199, 21, 5497, 3000, 8772
37249, 50, 5444, 3000, 8772
37299, 50, 5444, 3000, 8772
37350, 21, 5497, 3000, 8773
37399, 21, 5497, 3000, 8773
37449, -39, 5607, 3000, 8773
37500, 21, 5497, 3000, 8773
37549, 21, 5497, 3000, 8773
37599, -39, 5607, 3000, 8684
37649, 21, 5497, 3000, 8774
37699, 50, 5444, 3000, 8774
37749, -8, 5551, 3000, 8774
37800, 21, 5497, 3000, 8820
37849, 21, 5497, 3000, 8775
37899, 79, 5391, 3000, 8775
37949, 50, 5444, 3000, 8775
38000, -8, 5551, 3000, 8775
38049, 79, 5391, 3000, 8775
38100, 21, 5497, 3000, 8685
