Time (ms), Raw speed error (mV), Raw speed (mrad/s), Reference (mV), Control output (mV)
30200, 79, 5391, 3000, 8715
30251, 50, 5444, 3000, 8716
30300, 21, 5497, 3000, 8717
30350, 79, 5391, 3000, 8762
30400, 50, 5444, 3000, 8718
30450, -8, 5551, 3000, 8719
30499, 50, 5444, 3000, 8764
30550, 50, 5444, 3000, 8720
30600, -8, 5551, 3000, 8721
30650, 21, 5497, 3000, 8767
30699, 50, 5444, 3000, 8722
30749, -8, 5551, 3000, 8722
30800, 50, 5444, 3000, 8723
30850, 21, 5497, 3000, 8723
30899, 50, 5444, 3000, 8723
30949, -8, 5551, 3000, 8724
30999, 21, 5497, 3000, 8770
31049, 50, 5444, 3000, 8812
31100, -8, 5551, 3000, 8725
31150, 21, 5497, 3000, 8726
31199, 50, 5444, 3000, 8813
31249, -8, 5551, 3000, 8772
31299, 21, 5497, 3000, 8727
31349, -8, 5551, 3000, 8728
31400, 50, 5444, 3000, 8773
31449, 79, 5391, 3000, 8728
31499, 21, 5497, 3000, 8729
31550, -8, 5551, 3000, 8730
31599, 50, 5444, 3000, 8817
31649, 50, 5444, 3000, 8776
31700, -8, 5551, 3000, 8731
31749, 21, 5497, 3000, 8732
31799, 50, 5444, 3000, 8862
31849, 50, 5444, 3000, 8732
31899, -8, 5551, 3000, 8733
31949, 21, 5497, 3000, 8863
31999, 21, 5497, 3000, 8779
32049, 21, 5497, 3000, 8735
32100, 21, 5497, 3000, 8822
32149, 79, 5391, 3000, 8822
32199, 50, 5444, 3000, 8736
32249, -8, 5551, 3000, 8736
32299, 21, 5497, 3000, 8782
32349, 79, 5391, 3000, 8782
32399, 21, 5497, 3000, 8738
32449, 21, 5497, 3000, 8783
32499, 106, 5340, 3000, 8784
32550, 50, 5444, 3000, 8739
32599, -8, 5551, 3000, 8740
32649, 79, 5391, 3000, 8785
32699, 50, 5444, 3000, 8740
32750, 50, 5444, 3000, 8741
32799, 21, 5497, 3000, 8742
32850, 50, 5444, 3000, 8829
32899, 50, 5444, 3000, 8742
32949, -8, 5551, 3000, 8743
33000, 21, 5497, 3000, 8789
33049, 50, 5444, 3000, 8744
33099, -39, 5607, 3000, 8745
33150, 50, 5444, 3000, 8790
33199, 50, 5444, 3000, 8746
33250, 21, 5497, 3000, 8746
33299, 50, 5444, 3000, 8834
33349, 50, 5444, 3000, 8747
33399, 21, 5497, 3000, 8793
33450, 106, 5340, 3000, 8793
33499, 21, 5497, 3000, 8748
33549, 21, 5497, 3000, 8749
33599, 50, 5444, 3000, 8749
33650, 50, 5444, 3000, 8749
33699, 21, 5497, 3000, 8750
33749, 79, 5391, 3000, 8750
33799, -8, 5551, 3000, 8615
33849, -8, 5551, 3000, 8750
33899, 50, 5444, 3000, 8795
33949, 21, 5497, 3000, 8750
34000, 21, 5497, 3000, 8795
34050, 50, 5444, 3000, 8837
34099, 50, 5444, 3000, 8751
34149, 21, 5497, 3000, 8751
34199, 21, 5497, 3000, 8796
34249, 21, 5497, 3000, 8752
34300, 79, 5391, 3000, 8797
34349, 21, 5497, 3000, 8752
34399, 21, 5497, 3000, 8753
34449, 106, 5340, 3000, 8753
34499, 21, 5497, 3000, 8753
34549, 21, 5497, 3000, 8753
34600, 79, 5391, 3000, 8799
34649, 21, 5497, 3000, 8663
34700, -8, 5551, 3000, 8754
34749, 79, 5391, 3000, 8799
34799, -8, 5551, 3000, 8755
34849, -8, 5551, 3000, 8800
34900, 79, 5391, 3000, 8755
34949, 21, 5497, 3000, 8665
34999, -8, 5551, 3000, 8756
35049, 79, 5391, 3000, 8801
35099, 21, 5497, 3000, 8666
35149, -8, 5551, 3000, 8757
35200, 79, 5391, 3000, 8844
35249, 21, 5497, 3000, 8667
35300, 21, 5497, 3000, 8803
35349, 106, 5340, 3000, 8803
35399, -8, 5551, 3000, 8668
35449, 21, 5497, 3000, 8759
35499, 106, 5340, 3000, 8804
35549, -8, 5551, 3000, 8624
35599, 21, 5497, 3000, 8760
35649, 21, 5497, 3000, 8805
35699, -8, 5551, 3000, 8760
35750, 50, 5444, 3000, 8806
35799, 21, 5497, 3000, 8761
35849, -39, 5607, 3000, 8848
35899, 50, 5444, 3000, 8848
35949, 21, 5497, 3000, 8762
35999, -8, 5551, 3000, 8763
36051, 21, 5497, 3000, 8762
36099, -8, 5551, 3000, 8763
36149, 21, 5497, 3000, 8763
36199, -8, 5551, 3000, 8673
36250, -8, 5551, 3000, 8893
36299, 21, 5497, 3000, 8764
36351, -39, 5607, 3000, 8765
36401, 50, 5444, 3000, 8809
36449, 21, 5497, 3000, 8852
36500, -8, 5551, 3000, 8766
36550, 21, 5497, 3000, 8852
36600, -8, 5551, 3000, 8766
36650, 50, 5444, 3000, 8766
36700, 50, 5444, 3000, 8811
36750, -8, 5551, 3000, 8767
36800, 21, 5497, 3000, 8767
36849, -8, 5551, 3000, 8677
36899, 21, 5497, 3000, 8767
36950, 50, 5444, 3000, 8767
37000, -39, 5607, 3000, 8768
37049, 21, 5497, 3000, 8813
37099, 50, 5444, 3000, 8768
37150, -8, 5551, 3000, 8768
37200, 21, 5497, 3000, 8814
37249, 21, 5497, 3000, 8678
37299, -39, 5607, 3000, 8769
37350, 50, 5444, 3000, 8813
37399, 21, 5497, 3000, 8768
37449, -39, 5607, 3000, 8769
37500, 50, 5444, 3000, 8856
37549, 21, 5497, 3000, 8770
37599, 50, 5444, 3000, 8770
37649, 50, 5444, 3000, 8679
37699, -8, 5551, 3000, 8770
37750, 79, 5391, 3000, 8815
37800, 21, 5497, 3000, 8680
37849, 21, 5497, 3000, 8816
37899, 79, 5391, 3000, 8816
37949, -8, 5551, 3000, 8772
37999, 50, 5444, 3000, 8817
